epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,836.698,2.6956,2.78965,1.81302,0.02376,0.58511,0.07312,0.02021,2.5848,2.9399,1.78709,0.000655738,0.000655738,0.000655738
2,1578.31,2.42583,2.36142,1.66599,0.09784,0.16624,0.0497,0.01581,2.64987,2.8085,1.88622,0.00129622,0.00129622,0.00129622
3,2382.19,2.41657,2.29251,1.64067,0.20206,0.26902,0.14362,0.04182,2.59071,2.41071,1.68288,0.0019103,0.0019103,0.0019103
4,3062.53,2.41473,2.25805,1.63098,0.20187,0.15873,0.09173,0.02759,2.75923,2.6638,1.9806,0.0018812,0.0018812,0.0018812
5,3531.75,2.38463,2.23685,1.63014,0.18651,0.25807,0.11811,0.0345,2.6047,2.41363,1.83284,0.0018416,0.0018416,0.0018416
6,3933.65,2.34471,2.18377,1.60033,0.14324,0.23262,0.0892,0.0275,2.609,2.42861,1.77963,0.001802,0.001802,0.001802
7,4336.37,2.31791,2.13587,1.59913,0.14783,0.18695,0.07973,0.0229,2.8232,2.53886,1.97251,0.0017624,0.0017624,0.0017624
8,4731.85,2.30652,2.15566,1.59112,0.21055,0.28927,0.14239,0.04593,2.49629,2.27841,1.71624,0.0017228,0.0017228,0.0017228
9,5128.27,2.26328,2.0959,1.57674,0.16034,0.23508,0.11016,0.03476,2.53484,2.35014,1.72884,0.0016832,0.0016832,0.0016832
10,5531.15,2.27749,2.08324,1.56636,0.17356,0.1757,0.10071,0.03281,2.57851,2.43012,1.82295,0.0016436,0.0016436,0.0016436
11,5936.29,2.24187,2.05608,1.53494,0.2009,0.26136,0.1397,0.04358,2.49255,2.25672,1.70754,0.001604,0.001604,0.001604
12,6364.15,2.25645,2.00979,1.5357,0.22751,0.26477,0.1654,0.0505,2.47801,2.21757,1.68674,0.0015644,0.0015644,0.0015644
13,6916.53,2.23066,2.05495,1.54242,0.19169,0.21675,0.12676,0.03978,2.5763,2.42458,1.78354,0.0015248,0.0015248,0.0015248
14,7479.3,2.20723,2.00884,1.54341,0.22715,0.2942,0.16351,0.04868,2.52464,2.21136,1.7179,0.0014852,0.0014852,0.0014852
15,8034.34,2.20327,1.98303,1.52371,0.17779,0.2381,0.11912,0.03579,2.59691,2.36328,1.78144,0.0014456,0.0014456,0.0014456
16,8606.02,2.18484,1.97149,1.51991,0.02347,0.11576,0.01205,0.00421,2.88271,3.36571,2.1005,0.001406,0.001406,0.001406
17,9167.45,2.1703,1.92937,1.50819,0.19259,0.2433,0.12959,0.04117,2.55345,2.37038,1.78507,0.0013664,0.0013664,0.0013664
18,9710.94,2.1736,1.90798,1.50618,0.23606,0.28982,0.17372,0.05196,2.63959,2.1716,1.82431,0.0013268,0.0013268,0.0013268
19,10170.9,2.16033,1.92286,1.49693,0.20416,0.23016,0.1238,0.03836,2.67564,2.37845,1.91083,0.0012872,0.0012872,0.0012872
20,10631.7,2.13485,1.91062,1.49857,0.22027,0.26218,0.15241,0.04764,2.58647,2.29667,1.78863,0.0012476,0.0012476,0.0012476
21,11100.2,2.15383,1.89728,1.49527,0.25168,0.27887,0.17755,0.05612,2.4991,2.16845,1.71163,0.001208,0.001208,0.001208
22,11554.3,2.1165,1.84521,1.4755,0.24132,0.25643,0.16781,0.0532,2.57129,2.22909,1.7895,0.0011684,0.0011684,0.0011684
23,12001.2,2.11135,1.8224,1.49287,0.23929,0.2671,0.1709,0.05194,2.58781,2.32806,1.74457,0.0011288,0.0011288,0.0011288
24,12450.9,2.0847,1.81339,1.46407,0.23196,0.27422,0.16609,0.05078,2.56616,2.22105,1.76257,0.0010892,0.0010892,0.0010892
25,12924.4,2.07603,1.79873,1.45685,0.24596,0.28599,0.17933,0.05593,2.5238,2.16568,1.72411,0.0010496,0.0010496,0.0010496
26,13406.7,2.06167,1.76685,1.43906,0.27435,0.30679,0.20948,0.06273,2.5373,2.14162,1.70902,0.00101,0.00101,0.00101
27,13898.1,2.04191,1.76823,1.43918,0.28321,0.30925,0.19804,0.05674,2.61408,2.15506,1.76581,0.0009704,0.0009704,0.0009704
28,14365.2,2.04141,1.72325,1.41754,0.27718,0.31664,0.20591,0.06436,2.55107,2.12004,1.69317,0.0009308,0.0009308,0.0009308
29,14826.6,2.0171,1.69306,1.40334,0.26476,0.27039,0.18358,0.05914,2.56151,2.26878,1.76717,0.0008912,0.0008912,0.0008912
30,15280.7,2.00664,1.69882,1.41332,0.2378,0.2746,0.17286,0.0543,2.5573,2.21365,1.76216,0.0008516,0.0008516,0.0008516
31,15722.7,1.99661,1.65758,1.39369,0.27791,0.31719,0.20573,0.06193,2.53978,2.14421,1.68492,0.000812,0.000812,0.000812
32,16171.3,1.99618,1.66257,1.3922,0.2563,0.25889,0.17448,0.05204,2.65045,2.24227,1.86072,0.0007724,0.0007724,0.0007724
33,16635,1.9666,1.63526,1.3796,0.29062,0.27805,0.21125,0.06466,2.53274,2.21814,1.68873,0.0007328,0.0007328,0.0007328
