epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,   929.781,        2.83301,        2.88823,        2.22125,              0.1626 ,           0.10587,          0.0674 ,             0.01999,      2.88208,      2.71914,      2.10454, 0.000656566, 0.000656566, 0.000656566
    2,  1707.28 ,        2.72883,        2.63457,        2.09372,              0.05909,           0.17175,          0.03007,             0.00919,      2.75457,      4.92277,      2.34441, 0.00129703 , 0.00129703 , 0.00129703
    3,  2359.21 ,        2.71685,        2.61457,        2.08984,              0.11791,           0.1374 ,          0.05805,             0.01639,      2.71464,      2.95538,      2.18291, 0.0019111  , 0.0019111  , 0.0019111
    4,  3157.42 ,        2.69562,        2.62007,        2.06603,              0.11402,           0.09075,          0.04186,             0.01308,      2.85104,      3.17401,      2.28663, 0.0018812  , 0.0018812  , 0.0018812
    5,  3753.36 ,        2.66586,        2.60724,        2.05314,              0.1165 ,           0.12125,          0.04735,             0.01374,      2.6792 ,      2.95618,      2.22116, 0.0018416  , 0.0018416  , 0.0018416
    6,  4210.49 ,        2.67071,        2.60146,        2.07602,              0.1288 ,           0.14868,          0.06203,             0.02037,      2.66715,      2.87124,      2.1433 , 0.001802   , 0.001802   , 0.001802
    7,  4664.09 ,        2.66005,        2.58991,        2.03365,              0.14963,           0.12843,          0.0658 ,             0.01976,      2.70344,      2.71805,      2.14181, 0.0017624  , 0.0017624  , 0.0017624
    8,  5122.96 ,        2.62296,        2.56475,        2.03444,              0.17709,           0.11689,          0.07895,             0.02387,      2.59794,      2.70647,      2.17023, 0.0017228  , 0.0017228  , 0.0017228
    9,  5571.15 ,        2.60949,        2.54579,        2.01406,              0.16723,           0.11819,          0.06951,             0.02028,      2.64503,      2.71645,      2.16858, 0.0016832  , 0.0016832  , 0.0016832
   10,  6018.65 ,        2.62766,        2.52693,        2.00384,              0.13169,           0.10715,          0.04945,             0.01515,      2.63283,      2.81737,      2.13203, 0.0016436  , 0.0016436  , 0.0016436
   11,  6467.99 ,        2.59036,        2.53243,        1.99438,              0.14696,           0.10972,          0.06191,             0.02013,      2.59556,      2.67358,      2.11306, 0.001604   , 0.001604   , 0.001604
   12,  6907.43 ,        2.57562,        2.52808,        2.0068 ,              0.18059,           0.09706,          0.06578,             0.02006,      2.68097,      2.70918,      2.3616 , 0.0015644  , 0.0015644  , 0.0015644
   13,  7516.28 ,        2.59935,        2.49943,        2.00129,              0.17433,           0.14022,          0.08258,             0.02473,      2.58404,      2.67491,      2.20401, 0.0015248  , 0.0015248  , 0.0015248
   14,  8081.49 ,        2.57773,        2.49096,        1.99333,              0.14739,           0.12663,          0.06319,             0.01986,      2.58988,      2.7099 ,      2.07273, 0.0014852  , 0.0014852  , 0.0014852
   15,  8643.73 ,        2.55304,        2.52423,        1.98992,              0.18794,           0.11638,          0.07613,             0.02496,      2.57996,      2.67216,      2.16767, 0.0014456  , 0.0014456  , 0.0014456
   16,  9167.33 ,        2.56331,        2.50164,        1.99226,              0.20567,           0.11766,          0.0871 ,             0.02746,      2.53287,      2.64475,      2.0977 , 0.001406   , 0.001406   , 0.001406
   17,  9609.39 ,        2.54163,        2.49502,        1.97119,              0.19699,           0.12715,          0.0864 ,             0.0263 ,      2.56985,      2.63413,      2.16112, 0.0013664  , 0.0013664  , 0.0013664
